Fecha,Fabricante,SKU,Linea,Tipo,Rough_In,Bowl Height,Asiento,Capacidad (Gpl),Producto,Cod_Internet,Precio,Moneda,Market_Place,Stock,URL,Image_url
2022-11-09,Gerber,GMX21952,Maxwell,Bowl,12.0,Standard,Round Front,1.28,Gerber Maxwell Std RF Bowl,21952W,107.1,USD,afsupply.com,Si,https://www.afsupply.com/gerber-g0021952-21-952-white-maxwell-rf-1-28-bowl-white.html,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/3/1/31NEq-1-cBL.jpg
2022-11-09,Gerber,GVP2859025,Viper,Tank,,,,1.6,"Gerber Viper 1,6 gpf Tank",VP2859025,118.3,USD,afsupply.com,No,https://www.afsupply.com/gerber-gvp2859025-plumbing-viper-toilet-tank-1-6-gpf-12-rough-in-bone.html,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/3/1/31A14kE_-zL.jpg
